domain,batch,inbox_count,source,notes,subcategory
accelerateamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifymarketplace.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyseller.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyybrands.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyylistings.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyysales.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyysellers.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
amplifyystore.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
andreahenderson.biz,andrea-henderson-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
andreahenderson.info,andrea-henderson-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
andrealhenderson.biz,andrea-henderson-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
andrealhenderson.info,andrea-henderson-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
arnic.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicbiz.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicbiz.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicbizsolutions.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicbizsolutions.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicbizsolutionsus.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicintegratedsolutions.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicintegratedsolutions.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicsolutions.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
arnicsolutions.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
boostamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
brandsamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
brandswithamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
bridgeandlift.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
bridgeandscale.biz,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
bridgeandscale.info,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
bridgeandscale.net,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
