campaign_platform_id,client_id,campaign_name,campaign_status,proposed_mechanism,proposed_list_source,proposed_offer_type,confidence,APPROVE (y/n/correction)
sl:3409745,navreo,Amplifyy - Hiring Signal - Not on Amazon (Hard),ACTIVE,hiring-signal,,hard,medium,
sl:3409748,navreo,Amplifyy - Hiring Signal - Not on Amazon (Soft),ACTIVE,hiring-signal,,soft,medium,
sl:3407077,navreo,Amplifyy - Hiring Signal - Present on Amazon (Hard),ACTIVE,hiring-signal,,hard,medium,
sl:3409741,navreo,Amplifyy - Hiring Signal - Present on Amazon (Soft),ACTIVE,hiring-signal,,soft,medium,
sl:3439949,navreo,Amplifyy - Not on Amazon - Hard - [June],ACTIVE,targeted-list,,hard,medium,
sl:3539622,navreo,Amplifyy - Not on Amazon - LinkedIn Followers ,ACTIVE,followers,,,medium,
sl:3439978,navreo,Amplifyy - Not on Amazon - Soft - [June],ACTIVE,targeted-list,,soft,medium,
sl:3294311,navreo,Amplifyy - Not on Amazon (Hard),ACTIVE,targeted-list,,hard,medium,
sl:3412108,navreo,Amplifyy - Not on Amazon (Hard) - Prospeo,DRAFTED,targeted-list,,hard,medium,
sl:3472180,navreo,Amplifyy - Not on Amazon (Hard) - StoreLead,ACTIVE,targeted-list,,hard,medium,
sl:3579957,navreo,Amplifyy - Not on Amazon (Hard) - StoreLead - Apparel,ACTIVE,targeted-list,,hard,medium,
sl:3506959,navreo,Amplifyy - Not on Amazon (Hard) - StoreLead - NEW,ACTIVE,targeted-list,,hard,medium,
sl:3294313,navreo,Amplifyy - Not on Amazon (Soft),ACTIVE,targeted-list,,soft,medium,
sl:3412109,navreo,Amplifyy - Not on Amazon (Soft) - Prospeo,DRAFTED,targeted-list,,soft,medium,
sl:3472184,navreo,Amplifyy - Not on Amazon (Soft) - StoreLead,ACTIVE,targeted-list,,soft,medium,
sl:3579945,navreo,Amplifyy - Not on Amazon (Soft) - StoreLead - Apparel,ACTIVE,targeted-list,,soft,medium,
sl:3507001,navreo,Amplifyy - Not on Amazon (Soft) - StoreLead - NEW,ACTIVE,targeted-list,,soft,medium,
sl:3439899,navreo,Amplifyy - Present on Amazon - Hard - [June],ACTIVE,targeted-list,,hard,medium,
sl:3539520,navreo,Amplifyy - Present on Amazon - LinkedIn Followers,ACTIVE,followers,,,medium,
sl:3439917,navreo,Amplifyy - Present on Amazon - Soft - [June] ,ACTIVE,targeted-list,,soft,medium,
sl:3294307,navreo,Amplifyy - Present on Amazon (Hard),ACTIVE,targeted-list,,hard,medium,
sl:3412085,navreo,Amplifyy - Present on Amazon (Hard) - Prospeo,DRAFTED,targeted-list,,hard,medium,
sl:3472167,navreo,Amplifyy - Present on Amazon (Hard) - StoreLead,ACTIVE,targeted-list,,hard,medium,
sl:3579922,navreo,Amplifyy - Present on Amazon (Hard) - StoreLead - Apparel,ACTIVE,targeted-list,,hard,medium,
sl:3507032,navreo,Amplifyy - Present on Amazon (Hard) - StoreLead - NEW,ACTIVE,targeted-list,,hard,medium,
sl:3294310,navreo,Amplifyy - Present on Amazon (Soft),ACTIVE,targeted-list,,soft,medium,
sl:3412107,navreo,Amplifyy - Present on Amazon (Soft) - Prospeo,DRAFTED,targeted-list,,soft,medium,
sl:3472174,navreo,Amplifyy - Present on Amazon (Soft) - StoreLead,ACTIVE,targeted-list,,soft,medium,
sl:3579910,navreo,Amplifyy - Present on Amazon (Soft) - StoreLead - Apparel,ACTIVE,targeted-list,,soft,medium,
sl:3507066,navreo,Amplifyy - Present on Amazon (Soft) - StoreLead - NEW,ACTIVE,targeted-list,,soft,medium,
sl:3591996,navreo,Arna - Test Campaign,DRAFTED,targeted-list,,,low,
sl:3464920,navreo,Arnic – CEO/Founder Type- Latka (SaaS),ACTIVE,targeted-list,,,low,
sl:3506833,navreo,Arnic – CEO/Founder Type- Latka (SaaS) - NEW,ACTIVE,targeted-list,,,low,
sl:3422166,navreo,Arnic – SaaS Sales Leaders – [June 2026],ACTIVE,targeted-list,,,low,
sl:3396124,navreo,Arnic – SaaS Sales Leaders (50-1K) – Focused – [May 2026],ACTIVE,targeted-list,,,low,
sl:3407205,navreo,Arnic – Sales Enablement (Hiring Signals),ACTIVE,hiring-signal,,,medium,
sl:3401559,navreo,Arnic – Sales Enablement Roles ,ACTIVE,targeted-list,,,low,
sl:3464934,navreo,Arnic – Sales Leaders - Latka (SaaS),ACTIVE,targeted-list,,,low,
sl:3506763,navreo,Arnic – Sales Leaders - Latka (SaaS) - NEW,ACTIVE,targeted-list,,,low,
sl:3343012,navreo,Arnic – Sales Leaders – Navreo – [May],PAUSED,targeted-list,,,low,
sl:3407227,navreo,Arnic – SDR/AE Hires (Hiring Signals),ACTIVE,hiring-signal,,,medium,
sl:3550324,navreo,Arnic – YC Startup,ACTIVE,targeted-list,,,low,
sl:3104027,navreo,Byteplus - Seed 2.0 (AI Ark),PAUSED,targeted-list,,,low,
sl:3084240,navreo,Byteplus - Seed 2.0 (New Campaign),PAUSED,targeted-list,,,low,
sl:3175165,navreo,Information Request,DRAFTED,targeted-list,,,low,
sl:3109316,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3536845,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3507928,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3507397,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3579958,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3507264,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3507067,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3507034,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3507002,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3506961,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3252475,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3575786,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3550276,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3512957,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
